raceId,year,round,nameRace,date,time,circuitRef,nameCircuit,location,country,lat,lng,alt
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10.0
2,2009,2,Malaysian Grand Prix,2009-04-05,09:00:00,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18.0
3,2009,3,Chinese Grand Prix,2009-04-19,07:00:00,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,5.0
4,2009,4,Bahrain Grand Prix,2009-04-26,12:00:00,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7.0
5,2009,5,Spanish Grand Prix,2009-05-10,12:00:00,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109.0
6,2009,6,Monaco Grand Prix,2009-05-24,12:00:00,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,7.0
7,2009,7,Turkish Grand Prix,2009-06-07,12:00:00,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,130.0
8,2009,8,British Grand Prix,2009-06-21,12:00:00,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153.0
9,2009,9,German Grand Prix,2009-07-12,12:00:00,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,578.0
10,2009,10,Hungarian Grand Prix,2009-07-26,12:00:00,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264.0
11,2009,11,European Grand Prix,2009-08-23,12:00:00,valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,4.0
12,2009,12,Belgian Grand Prix,2009-08-30,12:00:00,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401.0
13,2009,13,Italian Grand Prix,2009-09-13,12:00:00,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162.0
14,2009,14,Singapore Grand Prix,2009-09-27,12:00:00,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,18.0
15,2009,15,Japanese Grand Prix,2009-10-04,05:00:00,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,45.0
16,2009,16,Brazilian Grand Prix,2009-10-18,16:00:00,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,785.0
17,2009,17,Abu Dhabi Grand Prix,2009-11-01,11:00:00,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3.0
18,2008,1,Australian Grand Prix,2008-03-16,04:30:00,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10.0
19,2008,2,Malaysian Grand Prix,2008-03-23,07:00:00,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18.0
20,2008,3,Bahrain Grand Prix,2008-04-06,11:30:00,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7.0
21,2008,4,Spanish Grand Prix,2008-04-27,12:00:00,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109.0
22,2008,5,Turkish Grand Prix,2008-05-11,12:00:00,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,130.0
23,2008,6,Monaco Grand Prix,2008-05-25,12:00:00,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,7.0
24,2008,7,Canadian Grand Prix,2008-06-08,17:00:00,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,13.0
25,2008,8,French Grand Prix,2008-06-22,12:00:00,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,228.0
26,2008,9,British Grand Prix,2008-07-06,12:00:00,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153.0
27,2008,10,German Grand Prix,2008-07-20,12:00:00,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,103.0
28,2008,11,Hungarian Grand Prix,2008-08-03,12:00:00,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264.0
29,2008,12,European Grand Prix,2008-08-24,12:00:00,valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,4.0
30,2008,13,Belgian Grand Prix,2008-09-07,12:00:00,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401.0
31,2008,14,Italian Grand Prix,2008-09-14,12:00:00,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162.0
32,2008,15,Singapore Grand Prix,2008-09-28,12:00:00,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,18.0
